WARNING 2026-06-07 10:43:36,127 log 18800 15320 Not Found: /api/logbook/dashboard/
ERROR 2026-06-07 10:43:36,130 log 18800 13004 Internal Server Error: /api/evaluations/score/1/
WARNING 2026-06-07 10:43:36,137 log 18800 15320 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
ERROR 2026-06-07 10:43:36,142 log 18800 13004 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
INFO 2026-06-07 10:43:36,148 log 18800 4796 "GET /api/placements/dashboard/ HTTP/1.1" 200 118
ERROR 2026-06-07 10:43:36,184 log 18800 13004 Internal Server Error: /api/evaluations/score/1/
ERROR 2026-06-07 10:43:36,185 log 18800 13004 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
INFO 2026-06-07 10:55:54,030 autoreload 10128 9024 Watching for file changes with StatReloader
INFO 2026-06-07 10:56:15,841 log 10128 13372 "OPTIONS /api/student/placement/ HTTP/1.1" 200 0
INFO 2026-06-07 10:56:15,843 log 10128 12624 "OPTIONS /api/student/placement/ HTTP/1.1" 200 0
INFO 2026-06-07 10:56:16,022 log 10128 13372 "GET /api/student/placement/ HTTP/1.1" 200 52
ERROR 2026-06-07 10:56:16,069 log 10128 4632 Internal Server Error: /api/evaluations/score/1/
ERROR 2026-06-07 10:56:16,085 log 10128 4632 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
INFO 2026-06-07 10:56:16,086 log 10128 7424 "GET /api/logs/dashboard/ HTTP/1.1" 200 180
INFO 2026-06-07 10:56:16,157 log 10128 13372 "GET /api/student/placement/ HTTP/1.1" 200 52
INFO 2026-06-07 10:56:16,195 log 10128 7424 "GET /api/logs/dashboard/ HTTP/1.1" 200 180
ERROR 2026-06-07 10:56:16,204 log 10128 4632 Internal Server Error: /api/evaluations/score/1/
ERROR 2026-06-07 10:56:16,212 log 10128 4632 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
INFO 2026-06-07 10:56:17,799 log 10128 4632 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 10:56:17,811 log 10128 4632 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 10:56:17,821 log 10128 7424 "GET /api/logs/ HTTP/1.1" 200 24
INFO 2026-06-07 10:56:17,842 log 10128 7424 "GET /api/logs/ HTTP/1.1" 200 24
INFO 2026-06-07 10:56:35,874 log 10128 7424 "OPTIONS /api/placements/my-placement/ HTTP/1.1" 200 0
INFO 2026-06-07 10:56:35,875 log 10128 4632 "OPTIONS /api/placements/my-placement/ HTTP/1.1" 200 0
INFO 2026-06-07 10:56:35,889 log 10128 4632 "GET /api/placements/my-placement/ HTTP/1.1" 200 52
INFO 2026-06-07 10:56:35,904 log 10128 4632 "GET /api/placements/my-placement/ HTTP/1.1" 200 52
INFO 2026-06-07 10:56:59,601 log 10128 7424 "GET /api/student/placement/ HTTP/1.1" 200 52
ERROR 2026-06-07 10:56:59,610 log 10128 13372 Internal Server Error: /api/evaluations/score/1/
ERROR 2026-06-07 10:56:59,613 log 10128 13372 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
INFO 2026-06-07 10:56:59,617 log 10128 4632 "GET /api/logs/dashboard/ HTTP/1.1" 200 180
ERROR 2026-06-07 10:56:59,661 log 10128 13372 Internal Server Error: /api/evaluations/score/1/
INFO 2026-06-07 10:56:59,650 log 10128 7424 "GET /api/student/placement/ HTTP/1.1" 200 52
ERROR 2026-06-07 10:56:59,697 log 10128 13372 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
INFO 2026-06-07 10:56:59,702 log 10128 4632 "GET /api/logs/dashboard/ HTTP/1.1" 200 180
ERROR 2026-06-07 10:57:08,747 log 10128 7424 Internal Server Error: /api/evaluations/score/1/
INFO 2026-06-07 10:57:08,749 log 10128 4632 "GET /api/logs/dashboard/ HTTP/1.1" 200 180
ERROR 2026-06-07 10:57:08,749 log 10128 7424 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
INFO 2026-06-07 10:57:08,756 log 10128 13372 "GET /api/student/placement/ HTTP/1.1" 200 52
INFO 2026-06-07 10:57:08,811 log 10128 4632 "GET /api/logs/dashboard/ HTTP/1.1" 200 180
ERROR 2026-06-07 10:57:08,837 log 10128 7424 Internal Server Error: /api/evaluations/score/1/
INFO 2026-06-07 10:57:08,862 log 10128 13372 "GET /api/student/placement/ HTTP/1.1" 200 52
ERROR 2026-06-07 10:57:08,881 log 10128 7424 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
INFO 2026-06-07 11:02:25,208 autoreload 10128 9024 C:\Users\Kaladi\Documents\GitHub\internship_logging_evaluation_system\BACKEND\evaluations\views.py changed, reloading.
INFO 2026-06-07 11:02:27,958 autoreload 7732 6760 Watching for file changes with StatReloader
INFO 2026-06-07 11:02:36,329 log 7732 10480 "GET /api/student/placement/ HTTP/1.1" 200 52
INFO 2026-06-07 11:02:36,329 log 7732 16224 "GET /api/evaluations/score/1/ HTTP/1.1" 200 119
INFO 2026-06-07 11:02:36,378 log 7732 18208 "GET /api/logs/dashboard/ HTTP/1.1" 200 180
INFO 2026-06-07 11:02:36,392 log 7732 10480 "GET /api/student/placement/ HTTP/1.1" 200 52
INFO 2026-06-07 11:02:36,412 log 7732 16224 "GET /api/evaluations/score/1/ HTTP/1.1" 200 119
INFO 2026-06-07 11:02:36,432 log 7732 18208 "GET /api/logs/dashboard/ HTTP/1.1" 200 180
INFO 2026-06-07 11:04:10,878 log 7732 18208 "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
INFO 2026-06-07 11:04:12,962 log 7732 18208 "POST /api/auth/register/ HTTP/1.1" 201 690
INFO 2026-06-07 11:04:23,755 log 7732 18208 "POST /api/auth/login/ HTTP/1.1" 200 665
INFO 2026-06-07 11:04:32,641 log 7732 18208 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 11:04:32,657 log 7732 18208 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 11:07:47,258 log 7732 18208 "POST /api/auth/register/ HTTP/1.1" 201 671
INFO 2026-06-07 11:08:04,498 log 7732 18208 "POST /api/auth/login/ HTTP/1.1" 200 665
INFO 2026-06-07 11:08:28,574 log 7732 18208 "POST /api/auth/login/ HTTP/1.1" 200 646
INFO 2026-06-07 11:13:46,542 log 7732 7644 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2026-06-07 11:13:46,546 log 7732 13864 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2026-06-07 11:13:46,585 log 7732 4368 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 11:13:46,603 log 7732 14620 "GET /api/logs/ HTTP/1.1" 200 24
INFO 2026-06-07 11:13:46,638 log 7732 13864 "GET /api/users/ HTTP/1.1" 200 494
INFO 2026-06-07 11:13:46,802 log 7732 14620 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 11:13:46,810 log 7732 4368 "GET /api/logs/ HTTP/1.1" 200 24
INFO 2026-06-07 11:13:46,821 log 7732 13864 "GET /api/users/ HTTP/1.1" 200 494
INFO 2026-06-07 11:13:52,614 log 7732 13864 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 11:13:52,631 log 7732 4368 "GET /api/users/ HTTP/1.1" 200 494
INFO 2026-06-07 11:13:52,632 log 7732 13864 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 11:13:52,658 log 7732 4368 "GET /api/users/ HTTP/1.1" 200 494
INFO 2026-06-07 11:14:47,916 log 7732 4368 "POST /api/auth/register/ HTTP/1.1" 201 714
INFO 2026-06-07 11:15:03,482 log 7732 9204 "POST /api/auth/login/ HTTP/1.1" 200 689
INFO 2026-06-07 11:15:03,682 log 7732 9204 "GET /api/logs/dashboard/ HTTP/1.1" 200 178
INFO 2026-06-07 11:15:03,747 log 7732 9204 "GET /api/logs/dashboard/ HTTP/1.1" 200 178
INFO 2026-06-07 11:15:11,489 log 7732 9204 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
INFO 2026-06-07 11:15:11,503 log 7732 9204 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
INFO 2026-06-07 11:15:19,371 log 7732 9204 "GET /api/logs/dashboard/ HTTP/1.1" 200 178
INFO 2026-06-07 11:15:19,391 log 7732 9204 "GET /api/logs/dashboard/ HTTP/1.1" 200 178
INFO 2026-06-07 15:19:58,829 autoreload 18236 6712 Watching for file changes with StatReloader
INFO 2026-06-07 15:22:42,203 autoreload 11904 6204 Watching for file changes with StatReloader
INFO 2026-06-07 20:14:32,792 log 11904 8416 "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
INFO 2026-06-07 20:14:34,023 log 11904 8416 "POST /api/auth/register/ HTTP/1.1" 201 674
INFO 2026-06-07 20:14:39,347 log 11904 8416 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2026-06-07 20:14:40,253 log 11904 8416 "POST /api/auth/login/ HTTP/1.1" 200 649
INFO 2026-06-07 20:14:40,310 log 11904 8416 "OPTIONS /api/logs/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-07 20:14:40,311 log 11904 11096 "OPTIONS /api/student/placement/ HTTP/1.1" 200 0
INFO 2026-06-07 20:14:40,314 log 11904 8416 "OPTIONS /api/evaluations/score/5/ HTTP/1.1" 200 0
